Marital Status,Application mode,Application order,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Course_171,Course_8014,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147,Course_9238,Course_9254,Course_9500,Course_9556,Course_9670,Course_9773,Course_9853,Course_9991
1,1,6,1,1,125.0,1,1,1,5,4,122.2,0,0,0,1,1,0,-0.562167955812708,0,0,6,7,0.09483200900511447,0.6110071437591771,0,0,6,8,5,12.66666667,0,15.5,2.8,-4.06,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,17,2,1,1,122.0,1,19,19,7,7,116.1,1,0,0,1,0,1,-0.562167955812708,0,0,5,8,0.09483200900511447,0.11545840201322553,0,0,5,5,3,11.0,0,12.4,0.5,1.79,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,17,3,1,1,123.0,1,38,38,7,8,118.8,1,1,0,1,0,1,-0.6939730878554988,0,0,6,10,0.09483200900511447,0.2806413159285428,0,0,6,11,5,12.33333333,0,11.1,0.6,2.02,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,39,1,1,19,133.1,1,38,38,9,9,114.8,0,0,0,1,0,0,0.6240782325724092,0,0,7,15,-1.1980395097579866,0.022543012935859794,0,0,7,10,1,10.0,0,13.9,-0.3,0.79,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2,7,1,1,2,100.0,1,37,37,9,9,100.0,0,0,0,0,0,0,1.8103244209575264,0,0,5,5,-1.5212573894487618,-2.1971023928012143,0,0,5,10,0,0.0,0,10.8,1.4,1.74,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,17,1,1,1,155.0,1,1,19,4,8,134.7,1,0,0,1,0,0,-0.4303628237699172,0,0,6,8,0.09483200900511447,0.5697114152803479,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,43,1,1,1,133.1,1,4,19,2,1,128.2,0,0,0,1,0,0,-0.034947427641544786,0,7,11,18,2.034139287149766,0.9188480285954694,1,2,6,7,6,14.5,0,9.4,-0.8,-3.12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,17,3,1,1,132.0,1,34,34,0,0,131.3,1,0,0,1,0,0,-0.2985576917271264,0,0,6,8,0.09483200900511447,0.23934558744971368,0,0,6,8,4,10.5,0,7.6,2.6,0.32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,1,1,130.0,1,37,19,9,5,140.2,1,0,0,1,1,0,-0.4303628237699172,0,0,5,5,-1.5212573894487618,-2.1971023928012143,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,44,1,1,39,140.0,1,19,38,3,9,140.0,1,0,0,1,1,0,-0.2985576917271264,0,0,6,7,0.4180498886958897,0.4576230099991787,0,0,6,6,6,13.16666667,0,12.4,0.5,1.79,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1,1,1,146.0,1,1,3,4,1,135.2,1,0,0,1,1,0,-0.6939730878554988,0,0,6,7,0.4180498886958897,0.7280117084707888,0,0,6,6,6,12.83333333,0,9.4,-0.8,-3.12,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,1,1,160.0,1,1,38,4,7,146.5,0,0,0,1,0,1,-0.6939730878554988,0,0,6,7,0.4180498886958897,0.5756108053580071,0,0,6,10,6,13.5,0,13.9,-0.3,0.79,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,1,1,133.1,1,3,1,4,4,95.0,0,0,0,1,1,0,-0.562167955812708,0,0,6,7,-1.5212573894487618,-2.1971023928012143,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,43,1,0,12,133.1,1,37,1,9,10,112.5,0,0,0,1,1,0,3.5237911375138067,0,6,13,13,0.4180498886958897,0.14298888697751647,0,2,11,11,2,13.5,0,16.2,0.3,-0.92,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,3,1,1,122.0,1,3,1,4,3,114.8,1,0,0,1,0,1,-0.562167955812708,0,0,7,11,-0.22838587068566077,0.4148524334847381,0,0,7,9,5,11.1,0,12.4,0.5,1.79,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,1,1,0,1,125.0,1,37,37,9,7,114.9,0,0,0,1,0,0,0.7558833646152,0,8,11,14,2.034139287149766,0.43550029772415266,0,3,7,7,7,13.42857143,0,9.4,-0.8,-3.12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,1,1,1,136.0,1,2,38,143,163,129.7,1,0,0,1,1,0,-0.562167955812708,0,0,6,10,-0.22838587068566077,0.38388063712561604,0,0,6,12,1,10.0,3,16.2,0.3,-0.92,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2,1,1,1,1,151.0,1,37,38,9,7,134.5,0,0,1,1,0,1,-0.6939730878554988,0,0,7,7,0.4180498886958897,0.7348943291956648,0,0,7,7,6,14.2,0,7.6,2.6,0.32,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,44,1,1,39,160.0,1,37,38,9,6,160.0,0,0,0,1,0,1,-0.4303628237699172,0,0,6,8,0.4180498886958897,0.40969046742488435,0,0,6,10,6,13.2,0,16.2,0.3,-0.92,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,3,1,1,132.0,1,1,3,9,7,126.1,1,0,0,1,0,1,-0.6939730878554988,0,0,6,6,0.4180498886958897,1.0721427777511754,0,0,6,6,6,15.33333333,0,11.1,0.6,2.02,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,1,2,1,1,142.0,1,37,37,9,7,132.7,1,0,0,1,0,1,-0.562167955812708,0,0,7,8,0.741267768386665,0.8562005316022259,0,0,8,8,8,15.8625,0,13.9,-0.3,0.79,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,39,1,0,1,150.0,1,3,5,2,2,135.8,0,0,1,1,1,0,0.7558833646152,0,1,5,9,-0.551603750376436,0.0741626735343964,0,0,5,11,2,13.5,0,12.7,3.7,-1.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,17,6,1,1,126.0,1,19,37,3,9,119.4,1,0,0,1,0,1,-0.562167955812708,0,0,7,7,0.741267768386665,0.5638120252026886,0,0,8,9,8,13.66666667,0,16.2,0.3,-0.92,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
